Family;Genus;Species;IUCN;Date;Tooth Shape
Carcharhinidae;Carcharhinus;Carcharhinus acronotus;Endangered;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus isodon;Near Threatened;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus altimus;Near Threatened;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus limbatus;Vulnerable;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus obscurus;Endangered;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus plumbeus;Endangered;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus brevipinna;Vulnerable;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus leucas;Vulnerable;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus longimanus;Critically Endangered;2025-04-13;
Carcharhinidae;Galeocerdo;Galeocerdo cuvier;Near Threatened;2025-04-13;x
Carcharhinidae;Negaprion;Negaprion brevirostris;Vulnerable;2025-04-13;x
Carcharhinidae;Prionace;Prionace glauca;Near Threatened;2025-04-13;x
Carcharhinidae;Carcharhinus;Carcharhinus galapagensis;Least Concern;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus brachyurus;Vulnerable;2025-04-13;
Carcharhinidae;Rhizoprionodon;Rhizoprionodon lalandii;Vulnerable;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus perezi;Endangered;2025-04-13;
Carcharhinidae;Isogomphodon;Isogomphodon oxyrhynchus;Critically Endangered;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus signatus;Endangered;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus porosus;Critically Endangered;2025-04-13;
Carcharhinidae;Rhizoprionodon;Rhizoprionodon porosus;Vulnerable;2025-04-13;x
Carcharhinidae;Carcharhinus;Carcharhinus melanopterus;Vulnerable;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus amblyrhynchoides;Vulnerable;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus cautus;Least Concern;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus dussumieri;Endangered;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus fitzroyensis;Least Concern;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus sealei;Vulnerable;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus tilstoni;Least Concern;2025-04-13;
Carcharhinidae;Glyphis;Glyphis garricki;Vulnerable;2025-04-13;x
Carcharhinidae;Glyphis;Glyphis glyphis;Vulnerable;2025-04-13;x
Carcharhinidae;Rhizoprionodon;Rhizoprionodon acutus;Vulnerable;2025-04-13;x
Carcharhinidae;Rhizoprionodon;Rhizoprionodon taylori;Least Concern;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus coatesi;Least Concern;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus tjutjot;Vulnerable;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus leiodon;Endangered;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus obsoletus;Critically Endangered;2025-04-13;
Carcharhinidae;Glyphis;Glyphis gangeticus;Critically Endangered;2025-04-13;x
Carcharhinidae;Carcharhinus;Carcharhinus borneensis;Critically Endangered;2025-04-13;
Carcharhinidae;Rhizoprionodon;Rhizoprionodon terraenovae;Least Concern;2025-04-13;x
Carcharhinidae;Nasolamia;Nasolamia velox;Endangered;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus albimarginatus;Vulnerable;2025-04-13;
Carcharhinidae;Lamiopsis;Lamiopsis temminckii;Endangered;2025-04-13;
Carcharhinidae;Rhizoprionodon;Rhizoprionodon longurio;Vulnerable;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus humani;Data Deficient;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus cerdale;Critically Endangered;2025-04-13;
Carcharhinidae;Scoliodon;Scoliodon macrorhynchos;Near Threatened;2025-04-13;
Carcharhinidae;Lamiopsis;Lamiopsis tephrodes;Endangered;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus amblyrhynchos;Endangered;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus amboinensis;Vulnerable;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus macloti;Near Threatened;2025-04-13;
Carcharhinidae;Carcharhinus;Carcharhinus sorrah;Near Threatened;2025-04-13;
Carcharhinidae;Loxodon;Loxodon macrorhinus;Near Threatened;2025-04-13;
Carcharhinidae;Negaprion;Negaprion acutidens;Endangered;2025-04-13;
Carcharhinidae;Rhizoprionodon;Rhizoprionodon oligolinx;Near Threatened;2025-04-13;
Carcharhinidae;Triaenodon;Triaenodon obesus;Vulnerable;2025-04-13;x
Carcharhinidae;Carcharhinus;Carcharhinus falciformis;Vulnerable;2025-04-13;
Carcharhinidae;Scoliodon;Scoliodon laticaudus;Near Threatened;2025-04-13;x
Carcharhinidae;Carcharhinus;Carcharhinus hemiodon;Critically Endangered;2025-04-13;
